reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id	library_source_material	library_source_molecule
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc8c566-9085-11ef-8569-e769cd5dc73e	dg.4DFC/1dc8c566-9085-11ef-8569-e769cd5dc73e	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc8f90a-9085-11ef-8b31-539c641bf04b	dg.4DFC/1dc8f90a-9085-11ef-8b31-539c641bf04b	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc92c72-9085-11ef-80d2-63150f8f1b83	dg.4DFC/1dc92c72-9085-11ef-80d2-63150f8f1b83	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc96278-9085-11ef-875d-77be6e970925	dg.4DFC/1dc96278-9085-11ef-875d-77be6e970925	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc9969e-9085-11ef-97ac-8f123d78a897	dg.4DFC/1dc9969e-9085-11ef-97ac-8f123d78a897	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc9ca4c-9085-11ef-aa48-8f72a34b48c9	dg.4DFC/1dc9ca4c-9085-11ef-aa48-8f72a34b48c9	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dc9ff1c-9085-11ef-9157-335463c0a60b	dg.4DFC/1dc9ff1c-9085-11ef-9157-335463c0a60b	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dca328e-9085-11ef-b707-635317eb4f32	dg.4DFC/1dca328e-9085-11ef-b707-635317eb4f32	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dca659c-9085-11ef-98b6-d7d8abc73504	dg.4DFC/1dca659c-9085-11ef-98b6-d7d8abc73504	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dca9a94-9085-11ef-a119-3b6e0966ca0f	dg.4DFC/1dca9a94-9085-11ef-a119-3b6e0966ca0f	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcace88-9085-11ef-8750-7f08b3c3d7a9	dg.4DFC/1dcace88-9085-11ef-8750-7f08b3c3d7a9	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcb031c-9085-11ef-bddc-7f2b178a13bf	dg.4DFC/1dcb031c-9085-11ef-bddc-7f2b178a13bf	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcb3cce-9085-11ef-a2fc-1b46add9b9ae	dg.4DFC/1dcb3cce-9085-11ef-a2fc-1b46add9b9ae	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcb70d6-9085-11ef-9ad8-6bf9c2fc2b01	dg.4DFC/1dcb70d6-9085-11ef-9ad8-6bf9c2fc2b01	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcba592-9085-11ef-838d-973414ada1d7	dg.4DFC/1dcba592-9085-11ef-838d-973414ada1d7	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcbda4e-9085-11ef-818b-bb25b903ecfe	dg.4DFC/1dcbda4e-9085-11ef-818b-bb25b903ecfe	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcc0dde-9085-11ef-b885-7ff5be880af5	dg.4DFC/1dcc0dde-9085-11ef-b885-7ff5be880af5	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcc4164-9085-11ef-9371-83821b213efa	dg.4DFC/1dcc4164-9085-11ef-9371-83821b213efa	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcc7f6c-9085-11ef-a5e7-2365cf2ce134	dg.4DFC/1dcc7f6c-9085-11ef-a5e7-2365cf2ce134	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dccb360-9085-11ef-9f21-33d3c85f38dc	dg.4DFC/1dccb360-9085-11ef-9f21-33d3c85f38dc	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcce66e-9085-11ef-9928-8ff37b7bb5d8	dg.4DFC/1dcce66e-9085-11ef-9928-8ff37b7bb5d8	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcd1bde-9085-11ef-a195-abda16a90c42	dg.4DFC/1dcd1bde-9085-11ef-a195-abda16a90c42	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcd4f96-9085-11ef-ae43-f34d8d7fccaf	dg.4DFC/1dcd4f96-9085-11ef-ae43-f34d8d7fccaf	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcd8272-9085-11ef-8b98-7770a366021a	dg.4DFC/1dcd8272-9085-11ef-8b98-7770a366021a	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcdb6a2-9085-11ef-b9ef-4b503740e867	dg.4DFC/1dcdb6a2-9085-11ef-b9ef-4b503740e867	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcdea6e-9085-11ef-94c4-f3def0780fdf	dg.4DFC/1dcdea6e-9085-11ef-94c4-f3def0780fdf	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dce1e12-9085-11ef-8650-77787b7cd96a	dg.4DFC/1dce1e12-9085-11ef-8650-77787b7cd96a	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dce55e4-9085-11ef-9911-bb15a685b5a6	dg.4DFC/1dce55e4-9085-11ef-9911-bb15a685b5a6	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dce8a1e-9085-11ef-9a78-5b5470fca8e4	dg.4DFC/1dce8a1e-9085-11ef-9a78-5b5470fca8e4	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcebe12-9085-11ef-bea3-bbd5e8abee5e	dg.4DFC/1dcebe12-9085-11ef-bea3-bbd5e8abee5e	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcef2ec-9085-11ef-b5c1-5f83a261eb6e	dg.4DFC/1dcef2ec-9085-11ef-b5c1-5f83a261eb6e	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcf26b8-9085-11ef-ba4a-7f8df6d7e007	dg.4DFC/1dcf26b8-9085-11ef-ba4a-7f8df6d7e007	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcf5a48-9085-11ef-93bd-27a62fdb93bd	dg.4DFC/1dcf5a48-9085-11ef-93bd-27a62fdb93bd	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcf8f18-9085-11ef-8c30-e3eee5f8f0fe	dg.4DFC/1dcf8f18-9085-11ef-8c30-e3eee5f8f0fe	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcfc92e-9085-11ef-9bb1-eb93cd0f238f	dg.4DFC/1dcfc92e-9085-11ef-9bb1-eb93cd0f238f	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dcffd04-9085-11ef-b7a0-d31df1d9ff8e	dg.4DFC/1dcffd04-9085-11ef-b7a0-d31df1d9ff8e	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd0318e-9085-11ef-8141-23e2d9b28523	dg.4DFC/1dd0318e-9085-11ef-8141-23e2d9b28523	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd06582-9085-11ef-a6a9-dfe1b3d09631	dg.4DFC/1dd06582-9085-11ef-a6a9-dfe1b3d09631	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd098d6-9085-11ef-86e7-f3c2aa3789ef	dg.4DFC/1dd098d6-9085-11ef-86e7-f3c2aa3789ef	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd0ce14-9085-11ef-8329-6fd7a8e38af9	dg.4DFC/1dd0ce14-9085-11ef-8329-6fd7a8e38af9	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd1019a-9085-11ef-9544-1f804b1b25b9	dg.4DFC/1dd1019a-9085-11ef-9544-1f804b1b25b9	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd1352a-9085-11ef-884f-1b1a673b5f81	dg.4DFC/1dd1352a-9085-11ef-884f-1b1a673b5f81	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd16b80-9085-11ef-be26-0bf6f4fc99d5	dg.4DFC/1dd16b80-9085-11ef-be26-0bf6f4fc99d5	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd19fba-9085-11ef-879e-93474d9c36be	dg.4DFC/1dd19fba-9085-11ef-879e-93474d9c36be	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd1d30e-9085-11ef-a333-a32d3de66222	dg.4DFC/1dd1d30e-9085-11ef-a333-a32d3de66222	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd207de-9085-11ef-a3e0-3337bcd0c683	dg.4DFC/1dd207de-9085-11ef-a3e0-3337bcd0c683	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd23bbe-9085-11ef-8474-577ba60c2a5c	dg.4DFC/1dd23bbe-9085-11ef-8474-577ba60c2a5c	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd26f08-9085-11ef-b31d-f7791c45f00f	dg.4DFC/1dd26f08-9085-11ef-b31d-f7791c45f00f	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd2a32e-9085-11ef-9abc-b3ed0c3bb712	dg.4DFC/1dd2a32e-9085-11ef-9abc-b3ed0c3bb712	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd2d6fa-9085-11ef-983c-97ebd04efbe1	dg.4DFC/1dd2d6fa-9085-11ef-983c-97ebd04efbe1	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd30a12-9085-11ef-ba1a-ab29b938c606	dg.4DFC/1dd30a12-9085-11ef-ba1a-ab29b938c606	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd34536-9085-11ef-9fa5-db9fde6facc6	dg.4DFC/1dd34536-9085-11ef-9fa5-db9fde6facc6	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd378e4-9085-11ef-b048-774144cb1a2d	dg.4DFC/1dd378e4-9085-11ef-b048-774144cb1a2d	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd3ac1a-9085-11ef-b3a6-2b75654d87d2	dg.4DFC/1dd3ac1a-9085-11ef-b3a6-2b75654d87d2	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd3e2de-9085-11ef-b01e-734cb1318512	dg.4DFC/1dd3e2de-9085-11ef-b01e-734cb1318512	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd41678-9085-11ef-9885-2f2792cb36ba	dg.4DFC/1dd41678-9085-11ef-9885-2f2792cb36ba	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd44a62-9085-11ef-8756-33a7cb21e9e8	dg.4DFC/1dd44a62-9085-11ef-8756-33a7cb21e9e8	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd4814e-9085-11ef-b8e3-f3068c2cbbe3	dg.4DFC/1dd4814e-9085-11ef-b8e3-f3068c2cbbe3	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd4b4ca-9085-11ef-b39c-ff4140a5bf07	dg.4DFC/1dd4b4ca-9085-11ef-b39c-ff4140a5bf07	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd4e9f4-9085-11ef-aede-579c7d7bfe86	dg.4DFC/1dd4e9f4-9085-11ef-aede-579c7d7bfe86	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd51d66-9085-11ef-81e4-3b0587ae14b8	dg.4DFC/1dd51d66-9085-11ef-81e4-3b0587ae14b8	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd550b0-9085-11ef-9263-9bc45e64ca4a	dg.4DFC/1dd550b0-9085-11ef-9263-9bc45e64ca4a	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd583dc-9085-11ef-a53b-f377a621d3fb	dg.4DFC/1dd583dc-9085-11ef-a53b-f377a621d3fb	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd5b8b6-9085-11ef-81f7-a301b8c0f85e	dg.4DFC/1dd5b8b6-9085-11ef-81f7-a301b8c0f85e	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd5ebce-9085-11ef-99fc-537bbd93548d	dg.4DFC/1dd5ebce-9085-11ef-99fc-537bbd93548d	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd61e3c-9085-11ef-b2fa-53f63cfecec2	dg.4DFC/1dd61e3c-9085-11ef-b2fa-53f63cfecec2	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd65230-9085-11ef-a732-8fa1ad39de4d	dg.4DFC/1dd65230-9085-11ef-a732-8fa1ad39de4d	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd6858e-9085-11ef-8ae9-af11fad0bef9	dg.4DFC/1dd6858e-9085-11ef-8ae9-af11fad0bef9	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd6b856-9085-11ef-8609-6331d244af70	dg.4DFC/1dd6b856-9085-11ef-8609-6331d244af70	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd6ec22-9085-11ef-947c-b73318ea91d6	dg.4DFC/1dd6ec22-9085-11ef-947c-b73318ea91d6	Single-cells	
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1dd71f1c-9085-11ef-8e0a-87ebc4fe9ced	dg.4DFC/1dd71f1c-9085-11ef-8e0a-87ebc4fe9ced	Single-cells	
