reference_genome_assembly	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id	library_strategy
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/30d27d15-328e-429d-ae1d-47bbfc38b24d	dg.4DFC/30d27d15-328e-429d-ae1d-47bbfc38b24d	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/d825cf6c-30a6-4337-88dc-1a2b274253fa	dg.4DFC/d825cf6c-30a6-4337-88dc-1a2b274253fa	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/4239ae71-60e2-4df3-9b32-451f29a923e5	dg.4DFC/4239ae71-60e2-4df3-9b32-451f29a923e5	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/e312a0dd-343a-4491-b3fc-908ad459c581	dg.4DFC/e312a0dd-343a-4491-b3fc-908ad459c581	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/ae5d0bb0-7c0f-441d-9286-f7fce499195c	dg.4DFC/ae5d0bb0-7c0f-441d-9286-f7fce499195c	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Five	genomic_info	dg.4DFC/96d94561-c86a-4061-97cc-547419e8b3ea	dg.4DFC/96d94561-c86a-4061-97cc-547419e8b3ea	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/97b92815-ac6d-49c3-8691-78b672839f24	dg.4DFC/97b92815-ac6d-49c3-8691-78b672839f24	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/d760b0c9-882c-4407-898d-f8f227cf01d0	dg.4DFC/d760b0c9-882c-4407-898d-f8f227cf01d0	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/db11a199-b827-4c93-a4f1-e7c75d17bbb3	dg.4DFC/db11a199-b827-4c93-a4f1-e7c75d17bbb3	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/66f4ec47-6e01-4080-9148-8a8998cdbbbd	dg.4DFC/66f4ec47-6e01-4080-9148-8a8998cdbbbd	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/16932c6d-639a-4386-8e3e-246b0abdabaf	dg.4DFC/16932c6d-639a-4386-8e3e-246b0abdabaf	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/ef22fad7-9677-45eb-931c-3c6d6695d5e3	dg.4DFC/ef22fad7-9677-45eb-931c-3c6d6695d5e3	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/cf2ad6aa-939f-43c7-8937-9517885181a0	dg.4DFC/cf2ad6aa-939f-43c7-8937-9517885181a0	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/68a24324-e8c1-4609-9678-eb5637f3a0b3	dg.4DFC/68a24324-e8c1-4609-9678-eb5637f3a0b3	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/c7973ac0-01fb-4599-b527-476860e96b32	dg.4DFC/c7973ac0-01fb-4599-b527-476860e96b32	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/27327afa-a3c1-47f9-ae98-826483a0585d	dg.4DFC/27327afa-a3c1-47f9-ae98-826483a0585d	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/195f9e2a-e691-4fe7-ad13-395d2bf376a2	dg.4DFC/195f9e2a-e691-4fe7-ad13-395d2bf376a2	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/cf54877f-1904-482d-a700-aa0a9b59a549	dg.4DFC/cf54877f-1904-482d-a700-aa0a9b59a549	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/76d7ac0a-d00d-4e07-8ee9-42b86b531963	dg.4DFC/76d7ac0a-d00d-4e07-8ee9-42b86b531963	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/df3a8a76-e4ac-40ef-abb8-2d7fa2cbda22	dg.4DFC/df3a8a76-e4ac-40ef-abb8-2d7fa2cbda22	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/fafe7b05-d26c-4df2-9906-789df30865ab	dg.4DFC/fafe7b05-d26c-4df2-9906-789df30865ab	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/60be7be3-1953-4914-8a9c-189aa03a479c	dg.4DFC/60be7be3-1953-4914-8a9c-189aa03a479c	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/5d040746-0b0f-4163-81df-65cd0699bdb3	dg.4DFC/5d040746-0b0f-4163-81df-65cd0699bdb3	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/c7a5b6d0-7262-4ec6-aabc-21d2d06568aa	dg.4DFC/c7a5b6d0-7262-4ec6-aabc-21d2d06568aa	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/306a957e-a4aa-442b-be08-61eb19d1d408	dg.4DFC/306a957e-a4aa-442b-be08-61eb19d1d408	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/a87f39c0-06cf-4791-94c9-24d6adf3abc8	dg.4DFC/a87f39c0-06cf-4791-94c9-24d6adf3abc8	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/2be053d5-d602-4896-8614-1d92f48a6e10	dg.4DFC/2be053d5-d602-4896-8614-1d92f48a6e10	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/7dfda1b7-6f84-48d9-bb9c-4668c253dd40	dg.4DFC/7dfda1b7-6f84-48d9-bb9c-4668c253dd40	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/8f660e57-b7f2-4f53-a366-640a64e4817d	dg.4DFC/8f660e57-b7f2-4f53-a366-640a64e4817d	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/aa1cae5e-95bc-4643-8a9a-9251e45c97d2	dg.4DFC/aa1cae5e-95bc-4643-8a9a-9251e45c97d2	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/177c335e-ac4d-4a58-903c-919d1ea10352	dg.4DFC/177c335e-ac4d-4a58-903c-919d1ea10352	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/f44ff03d-e964-4a94-a775-81593d6a7b84	dg.4DFC/f44ff03d-e964-4a94-a775-81593d6a7b84	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/6462817f-161b-4d56-a225-69e7400fb165	dg.4DFC/6462817f-161b-4d56-a225-69e7400fb165	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/3b9e1569-acac-4153-b575-9a3dc2e640f6	dg.4DFC/3b9e1569-acac-4153-b575-9a3dc2e640f6	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/1a13afca-e9f5-467f-8bf2-39d9034d4e8f	dg.4DFC/1a13afca-e9f5-467f-8bf2-39d9034d4e8f	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/772e346c-3d12-4b40-8f3d-7f9fe4b545fa	dg.4DFC/772e346c-3d12-4b40-8f3d-7f9fe4b545fa	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/b6e088f9-f0be-4d4a-8b5d-f833856f670c	dg.4DFC/b6e088f9-f0be-4d4a-8b5d-f833856f670c	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/9882950c-9710-4f84-825e-43f23331a386	dg.4DFC/9882950c-9710-4f84-825e-43f23331a386	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/14d7bb64-67a0-40ef-bd68-daa78044b659	dg.4DFC/14d7bb64-67a0-40ef-bd68-daa78044b659	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	rRNA Depletion	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/00ef8560-15bd-46de-8e59-508c51c5031b	dg.4DFC/00ef8560-15bd-46de-8e59-508c51c5031b	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/b396d92a-fd30-4bc9-b668-d3db19ca97d1	dg.4DFC/b396d92a-fd30-4bc9-b668-d3db19ca97d1	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/ee2ca703-332a-4347-a7f3-e4648f48673a	dg.4DFC/ee2ca703-332a-4347-a7f3-e4648f48673a	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/727ecf47-797e-4427-a3a1-b65de5dab44a	dg.4DFC/727ecf47-797e-4427-a3a1-b65de5dab44a	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/3d74d717-ea03-487e-9e6f-4aace1ef93f6	dg.4DFC/3d74d717-ea03-487e-9e6f-4aace1ef93f6	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/9236cd69-2475-4d2a-849b-628f80977faf	dg.4DFC/9236cd69-2475-4d2a-849b-628f80977faf	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/717a07bf-faad-4f11-9ba6-9cb9f1da0544	dg.4DFC/717a07bf-faad-4f11-9ba6-9cb9f1da0544	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/912c0aaa-730b-422a-b02d-f905248c057e	dg.4DFC/912c0aaa-730b-422a-b02d-f905248c057e	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/0ae36122-f8ef-458a-96b7-ba9b0344898c	dg.4DFC/0ae36122-f8ef-458a-96b7-ba9b0344898c	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/cb1abadf-e4f3-4ecb-a20a-a547171388ad	dg.4DFC/cb1abadf-e4f3-4ecb-a20a-a547171388ad	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/2c5bab2e-14a1-4a9d-b301-c198e9c7aaec	dg.4DFC/2c5bab2e-14a1-4a9d-b301-c198e9c7aaec	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/0cd0ed1a-7ad7-4533-86dd-6726ccb3928d	dg.4DFC/0cd0ed1a-7ad7-4533-86dd-6726ccb3928d	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/44ce016f-991a-4c76-999b-c4fe0e50bbd0	dg.4DFC/44ce016f-991a-4c76-999b-c4fe0e50bbd0	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/9ba1a233-25ad-433a-9bae-5b09c9aef023	dg.4DFC/9ba1a233-25ad-433a-9bae-5b09c9aef023	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/3a006b1d-d9a4-4a24-b9d9-487ff0bd5519	dg.4DFC/3a006b1d-d9a4-4a24-b9d9-487ff0bd5519	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/a7541b4f-1128-454f-8fec-1b8b71383a62	dg.4DFC/a7541b4f-1128-454f-8fec-1b8b71383a62	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/02d3b814-4bf3-4fd5-8d3b-02a980435b85	dg.4DFC/02d3b814-4bf3-4fd5-8d3b-02a980435b85	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/f127419b-43b1-43cc-ad0f-620bf5b22846	dg.4DFC/f127419b-43b1-43cc-ad0f-620bf5b22846	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/0c9cc4fd-8971-479c-9700-ec31ba1a117b	dg.4DFC/0c9cc4fd-8971-479c-9700-ec31ba1a117b	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/7dd73393-2ab0-40e1-84c3-1af58c3ba6c2	dg.4DFC/7dd73393-2ab0-40e1-84c3-1af58c3ba6c2	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/b73cda1b-953b-451a-88e2-fca73110c3ed	dg.4DFC/b73cda1b-953b-451a-88e2-fca73110c3ed	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/92cc72fb-fe7c-483d-a945-3f561c81ea44	dg.4DFC/92cc72fb-fe7c-483d-a945-3f561c81ea44	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/b5042431-515e-4f1e-afac-f1317a764a0d	dg.4DFC/b5042431-515e-4f1e-afac-f1317a764a0d	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/77a8976c-3b02-4ae5-b51c-c03912a0d277	dg.4DFC/77a8976c-3b02-4ae5-b51c-c03912a0d277	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/c42238da-7f65-4450-b3f1-1fb6278c743e	dg.4DFC/c42238da-7f65-4450-b3f1-1fb6278c743e	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/aad0dc10-8ee0-4975-9c96-236de86be1a6	dg.4DFC/aad0dc10-8ee0-4975-9c96-236de86be1a6	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/b6c35fca-8679-4f91-a957-0c3b667e767d	dg.4DFC/b6c35fca-8679-4f91-a957-0c3b667e767d	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/0e30580a-8c51-438d-b067-e342f7dcf7fe	dg.4DFC/0e30580a-8c51-438d-b067-e342f7dcf7fe	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/ac265f55-1db1-4b32-b557-a961158231fd	dg.4DFC/ac265f55-1db1-4b32-b557-a961158231fd	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/8a054dc3-69bc-4cdf-9283-b7a44b305fe0	dg.4DFC/8a054dc3-69bc-4cdf-9283-b7a44b305fe0	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e1456ee4-c8f7-49be-b501-8ee0e166c261	dg.4DFC/e1456ee4-c8f7-49be-b501-8ee0e166c261	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/7ef78918-3e04-4715-9a2d-93071d93364b	dg.4DFC/7ef78918-3e04-4715-9a2d-93071d93364b	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/439fa1d3-9952-4cb5-97ca-78d843380ae7	dg.4DFC/439fa1d3-9952-4cb5-97ca-78d843380ae7	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/2068503b-e5e6-480c-9913-f8125913f2ee	dg.4DFC/2068503b-e5e6-480c-9913-f8125913f2ee	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/54f12f4f-e538-42c8-abbf-0b85221fe5de	dg.4DFC/54f12f4f-e538-42c8-abbf-0b85221fe5de	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/8d53fd3a-aced-4345-931c-ab14b3a5260f	dg.4DFC/8d53fd3a-aced-4345-931c-ab14b3a5260f	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/92dc9195-46a0-4af0-843e-17c47935e8a1	dg.4DFC/92dc9195-46a0-4af0-843e-17c47935e8a1	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/bdb846a1-4fac-418c-b6df-d4140e88239e	dg.4DFC/bdb846a1-4fac-418c-b6df-d4140e88239e	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Five	genomic_info	dg.4DFC/7f65b562-70ee-4695-8fdd-56e47cf62f3b	dg.4DFC/7f65b562-70ee-4695-8fdd-56e47cf62f3b	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Five	genomic_info	dg.4DFC/5d29127e-d052-46c1-b55d-a507c76132b5	dg.4DFC/5d29127e-d052-46c1-b55d-a507c76132b5	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/ca6359d7-e591-4a49-943f-25366a85600c	dg.4DFC/ca6359d7-e591-4a49-943f-25366a85600c	Not specified in data
Not specified in data	Not specified in data	Single Cell	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/2a51e47d-aa56-44e9-b6ab-47c54d8b3652	dg.4DFC/2a51e47d-aa56-44e9-b6ab-47c54d8b3652	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/b1c6e384-0eb6-4d1d-8d8d-dd50b59c8f46	dg.4DFC/b1c6e384-0eb6-4d1d-8d8d-dd50b59c8f46	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/b9ef4196-522a-48ce-a032-5c6376dc2a5f	dg.4DFC/b9ef4196-522a-48ce-a032-5c6376dc2a5f	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/c5cb366e-4938-4834-abd0-45f88fdfd0c4	dg.4DFC/c5cb366e-4938-4834-abd0-45f88fdfd0c4	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/360082ec-01d6-4bb2-be4d-21d50060c49e	dg.4DFC/360082ec-01d6-4bb2-be4d-21d50060c49e	Not specified in data
Not specified in data	Paired-End	Bulk Whole Cell	Poly-A Enriched Genomic Librar	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/958b340e-71ba-4a9b-84b1-4606eee29c6d	dg.4DFC/958b340e-71ba-4a9b-84b1-4606eee29c6d	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/b0ab0b90-e265-4a2b-a8f6-604ec3ab09b2	dg.4DFC/b0ab0b90-e265-4a2b-a8f6-604ec3ab09b2	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/f306f94d-a808-4fde-8550-098321fde9de	dg.4DFC/f306f94d-a808-4fde-8550-098321fde9de	Not specified in data
Not specified in data	Paired-End	Not specified in data	PCR	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/2c4b65b1-590c-463c-b49a-e8d7b9d13e62	dg.4DFC/2c4b65b1-590c-463c-b49a-e8d7b9d13e62	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/8d16e6c9-cd6e-4364-b480-5d82f9f88560	dg.4DFC/8d16e6c9-cd6e-4364-b480-5d82f9f88560	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/d5a54458-dc48-42f6-b0a7-874b1cef80f6	dg.4DFC/d5a54458-dc48-42f6-b0a7-874b1cef80f6	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina HiSeq X Five	genomic_info	dg.4DFC/427cfe47-0e88-4dbd-92c8-f449899e803a	dg.4DFC/427cfe47-0e88-4dbd-92c8-f449899e803a	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/ebced221-6f4d-4f0d-9692-9eeefe836855	dg.4DFC/ebced221-6f4d-4f0d-9692-9eeefe836855	Not specified in data
Not specified in data	Not specified in data	Single Nucleus	Not specified in data	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/d5495188-9a69-4fb5-9992-18893c2b5d47	dg.4DFC/d5495188-9a69-4fb5-9992-18893c2b5d47	Not specified in data
