type	uuid	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id
file	757d8032-dd52-5bea-956b-d1d43a582334	dg.4DFC/757d8032-dd52-5bea-956b-d1d43a582334	Low Pass WGS: Primary Tumor	bai	COTC026_0825_T.bam.bai	3278416	Whole Genome Sequence File	f37518d37240386ce3cb87cd850d66d2	COTC026-0825-T
file	7830958a-b310-50e3-95b0-77123af6b6e2	dg.4DFC/7830958a-b310-50e3-95b0-77123af6b6e2	Low Pass WGS: Primary Tumor	bam	COTC026_1124_T.bam	6440149938	Whole Genome Sequence File	58c63300b20954a368024ae761b1f675	COTC026-1124-T
file	7a07acc8-7928-5b41-96ab-ca0bc7729613	dg.4DFC/7a07acc8-7928-5b41-96ab-ca0bc7729613	Low Pass WGS: Primary Tumor	bam	COTC026_0240_T.bam	8027524709	Whole Genome Sequence File	fbb3f2defb44132ff03de8bd25cc3f51	COTC026-0240-T
file	7cdae4e8-c8e9-540d-95bd-d3cd5112c8b6	dg.4DFC/7cdae4e8-c8e9-540d-95bd-d3cd5112c8b6	Low Pass WGS: Primary Tumor	bai	COTC026_0820_T.bam.bai	2520640	Whole Genome Sequence File	065c1489ad498a608408b9a26985bf5f	COTC026-0820-T
file	7f71ea3b-79d0-5a9c-af73-f8a0057e9670	dg.4DFC/7f71ea3b-79d0-5a9c-af73-f8a0057e9670	Low Pass WGS: Primary Tumor	bai	COTC026_0530_T.bam.bai	2237136	Whole Genome Sequence File	1579d88b37a802ae97d2d64edd94114f	COTC026-0530-T
file	7fd38b38-7ade-58c1-ab2f-14fca42a6071	dg.4DFC/7fd38b38-7ade-58c1-ab2f-14fca42a6071	Low Pass WGS: Primary Tumor	bai	COTC026_0425_T.bam.bai	2254984	Whole Genome Sequence File	e0ce852d1a104c315bfa364f1e397d49	COTC026-0425-T
file	83c2e9eb-becf-58fd-8b77-63a4c05038f1	dg.4DFC/83c2e9eb-becf-58fd-8b77-63a4c05038f1	Low Pass WGS: Primary Tumor	bam	COTC026_0346_T.bam	7267625498	Whole Genome Sequence File	42d9ae1173708a4ca2d5825504cd388f	COTC026-0346-T
file	8537b812-114d-5e47-92c5-89e14a45e205	dg.4DFC/8537b812-114d-5e47-92c5-89e14a45e205	Low Pass WGS: Primary Tumor	bam	COTC026_0349_T.bam	6429320978	Whole Genome Sequence File	3ed6f8990f3f4c15d526c1a66ccebc90	COTC026-0349-T
file	88c474b5-ffc8-5dd6-a8ce-0d10cc0ff06d	dg.4DFC/88c474b5-ffc8-5dd6-a8ce-0d10cc0ff06d	Low Pass WGS: Primary Tumor	bai	COTC026_0654_T.bam.bai	2344600	Whole Genome Sequence File	cbd7236389f8d2ea04f1937ee24222bb	COTC026-0654-T
file	8947cf75-1c48-5287-9716-5c0f6c7d820a	dg.4DFC/8947cf75-1c48-5287-9716-5c0f6c7d820a	Low Pass WGS: Primary Tumor	bam	COTC026_0417_T.bam	8319207795	Whole Genome Sequence File	99de5b567ef3a7d137f5bc98e1b7ce54	COTC026-0417-T
