GUID	md5	size	acl	url
dg.4DFC/2da4b4ab-54da-5be8-abf2-0d7b9661540e	6c3b8d0165009b50c69217f916ad0f6c	5231488.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1860_recal_reads.bai
dg.4DFC/bf64dc2c-30b9-5d9c-a4eb-da0e91926b3d	6af792b6f4e200530558b0c6b88c7463	7739472532.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1860_recal_reads.bam
dg.4DFC/23208af1-3c3b-5dd9-b3e9-3d2bbcddabef	da1836c5286ed3b188fdaf7a2b0d37c0	5157304.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1891_recal_reads.bai
dg.4DFC/ff312c56-2b96-5c2f-9f57-b5493418688d	718b494791347fe4de0977be1229f730	7678794569.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1891_recal_reads.bam
dg.4DFC/ec390cc1-9904-531d-b391-f67bc106595d	65c8754f8c75c8af9675497401baff43	5411624.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1921_recal_reads.bai
dg.4DFC/2b1236bf-4722-5c49-acce-bd7393793ed2	3481f4afa48bae6cd48a808eb69007ef	18629555495.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1921_recal_reads.bam
dg.4DFC/1942e338-7ff3-51f4-931a-4477ea875951	570034637130a6a61a65e5c3430d04dc	5127112.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1923_recal_reads.bai
dg.4DFC/92c07ebe-ca7f-570d-85a7-4de7a9a9509d	bcbf5819a600d97a29465a69c0ce7993	14859640353.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1923_recal_reads.bam
dg.4DFC/6dd7ef13-69d4-51cb-b369-3bf965a3cb8d	11b60d20cbea118cee2efa2e1926f0f8	5082968.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1989_recal_reads.bai
dg.4DFC/58eafedc-afe2-5a90-bbb4-b2a0954ca143	35da3c38b535d12f8a9762e1cf47e865	15445287015.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1989_recal_reads.bam
dg.4DFC/0a96c93b-250f-5b72-b68b-efd24c04e16f	b1f0a880a9a0ddf0f116bee1afc1be33	5148736.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T2063_recal_reads.bai
dg.4DFC/97efb4fd-2603-5881-8b90-ad3b3579f3fe	f1900a1bcf8d2632c0de1b8a41b6a884	7829591037.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T2063_recal_reads.bam
dg.4DFC/fbd01209-c8d4-5205-85ef-a7eeff0cd37b	434a8d787670242dba76f3210bdb5982	5302024.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T212343_recal_reads.bai
dg.4DFC/834287a7-72a5-5cf0-a4d8-6daa768719d7	84ef66066e596123c91298f0766db9e6	19149744200.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T212343_recal_reads.bam
dg.4DFC/9d6c24ee-21a3-5e88-b7e0-354faaf8b1a3	95f7693c221c2407fa6096d1eb3dfd11	5147960.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T218_recal_reads.bai
dg.4DFC/f1c88223-52b5-54a7-872f-af1c26f31904	93afd70d02950c8a7098945fda30d28e	8388733354.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T218_recal_reads.bam
dg.4DFC/6d18ee53-7369-522d-aaa6-76ce74ffc26e	31546f4bcfbfff8756e29c61c0281624	5264496.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T230_recal_reads.bai
dg.4DFC/4d5c2504-c471-5683-b972-8dfe5908991b	06c17fd9f5c5e745353a6d304cdc4ec1	18097994373.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T230_recal_reads.bam
dg.4DFC/9e385b55-79d3-57d1-a5d8-2f710ff6ca65	379040e5af51fc236a4ae82c61453d31	5156072.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T232_recal_reads.bai
dg.4DFC/01835dfd-f515-5fd3-842f-91eb77ef6058	91f2f1e88378bfe146b787b8cb73410d	8413455131.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T232_recal_reads.bam
dg.4DFC/bfd90aba-ea70-5fd3-9e34-1b38628705d4	f7fa93c70da2a8f74256dc69524b6739	4834512.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T282_recal_reads.bai
dg.4DFC/decf9bdc-faa8-540f-8976-5b43ef6290d3	20698d0a6e328a0b4082f55330cde3fc	13446250985.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T282_recal_reads.bam
dg.4DFC/4d6f86ec-5e92-5f5a-af06-ee6acaf9aaa1	4b39408b227e57b00913ace00fe709d1	5260160.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T311_recal_reads.bai
dg.4DFC/3043a363-9bd8-5852-9422-e97df4d61003	a9a31eae0b56a1ea119f8584cf3267bc	19525927344.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T311_recal_reads.bam
dg.4DFC/d2b84b4c-45f0-5618-b3f6-d89c097eef6f	71383d045c23f90d33bb10a7124a9cac	5320880.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T320_recal_reads.bai
dg.4DFC/b3ec8fdd-581a-5d9e-9d37-8708c3462f61	43eed6818f85ccbf48a668867c0590b9	9042942608.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T320_recal_reads.bam
dg.4DFC/20b8cafb-b2ff-5d7c-881c-7b36b4366b2a	6caf71e295ef4f1e907c2cbbff7be533	5328504.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T336_recal_reads.bai
dg.4DFC/ba8730d2-2e37-53fe-94eb-91c9f1ef31f3	7ac8bc7d6b1ff63a7a991afc77c5de9f	18303147411.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T336_recal_reads.bam
dg.4DFC/f9bcd87b-dc68-5c21-b273-9178b266563b	02ac01b289a57fe23e16b17b6f0a74aa	5068632.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T344_recal_reads.bai
dg.4DFC/29138e07-6d8b-598e-bcdf-5a290d67724e	9f901efe8ee237e0fb5a4e4a38e1aea5	7076650673.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T344_recal_reads.bam
dg.4DFC/b4c0e00d-5484-5902-83d4-76317d57b17d	8eb9d668ebc98070f0da108d6bd4b0c4	5166224.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T416_recal_reads.bai
dg.4DFC/3e286ff0-4965-5f0e-957f-5945ffaa08c7	3ab7781dffff00c40d2eb274a4d096af	8141433815.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T416_recal_reads.bam
dg.4DFC/289040e4-4e7a-557f-b02f-26f4319c1ec1	7e7d503c7c1334bf47aaf267e30955a4	5268456.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T479_recal_reads.bai
dg.4DFC/5d499b81-9e66-5971-be30-3734b910fac6	1381ee6a235dd897a36b2cad617c33da	19462612304.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T479_recal_reads.bam
dg.4DFC/193d6eb4-231a-519d-b477-82002abac216	8705dcbc0c2b1b37d7e73f324a64aace	5103752.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T485_recal_reads.bai
dg.4DFC/8bc9904a-4025-5ac2-b679-46af5bc5c72b	7059477b6435abf613e9c6571f0cf79c	15438448949.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T485_recal_reads.bam
dg.4DFC/000ccf3b-a9e3-5862-9dae-22b93a9b4fbb	3987caf8d6de9ba65e823711e967e6eb	5029120.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T697_recal_reads.bai
dg.4DFC/98c0be83-6b5b-53d5-8693-4edfdefd8e70	8a7dfed41a93a96b5ebc3b85a0d08ccd	18312132976.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T697_recal_reads.bam
dg.4DFC/45344256-e57d-5566-b28f-96559ec50286	a66baae958919b1baaf186614578ac19	5167856.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T738_recal_reads.bai
dg.4DFC/4e8ab033-d45b-5477-b591-1ae6bdafb7b8	c32d3c6f44d50347f42a7865bbd4e894	8328326128.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T738_recal_reads.bam
dg.4DFC/b3e2a637-a2f4-56ca-aac4-e933085a57f6	44fb7e00b943e299ee82c766a0890c32	5331518853.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1124_Star_Aligned.sortedByCoord.out.bam
dg.4DFC/596504ba-bf26-5d4d-84d8-ae4d1169ae47	54cfed5199f8fd2aca34779289b27189	2927800.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1124_Star_Aligned.sortedByCoord.out.bam.bai
dg.4DFC/6a50de5e-e675-5cb7-8e4c-dde245c879e0	dab667d8469b702c7813ce6f731ccdd9	6355576745.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1238_Star_Aligned.sortedByCoord.out.bam
dg.4DFC/f689e6be-989b-5c11-824e-56f3b30668ff	4234754ceafaf2ccb72f884234b8ffcd	3358064.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/T1238_Star_Aligned.sortedByCoord.out.bam.bai
