type	uuid	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id
file	963006c3-4cf9-5271-b047-9444cc2ba0cf	dg.4DFC/963006c3-4cf9-5271-b047-9444cc2ba0cf	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102032_1.fastq.gz	6867395804	Whole Genome Sequence File	5bbe23f3bc591f079734da367877dcbc	PRECINCT02-04-T-RVKPT-N
file	9663b741-c6b7-599e-8ed9-c04820f027d2	dg.4DFC/9663b741-c6b7-599e-8ed9-c04820f027d2	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14098079_2.fastq.gz	5296021113	Whole Genome Sequence File	4e748066b2d4e5dcb690026a2e8b9b59	PRECINCT02-04-T-KPT9274-T
file	96857c32-07aa-5839-ae1b-02bf33ef076b	dg.4DFC/96857c32-07aa-5839-ae1b-02bf33ef076b	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14099674_1.fastq.gz	8257681560	Whole Genome Sequence File	c779fd82a96491a62081217940188d5b	PRECINCT02-03-T-DOXRV-N
file	96908121-a130-591c-b919-e34888cad275	dg.4DFC/96908121-a130-591c-b919-e34888cad275	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14098099_1.fastq.gz	6198619074	Whole Genome Sequence File	18a8dbfe8694a2f0ea006192059a5105	PRECINCT02-06-T-KPT9274-N
file	96c41446-6a0f-5fe9-b38a-7e12d06eb2de	dg.4DFC/96c41446-6a0f-5fe9-b38a-7e12d06eb2de	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102065_1.fastq.gz	2718677964	Whole Genome Sequence File	84458cc8bca144011fefa2fa9a286929	PRECINCT02-07-T-RVKPT-T
file	97b2ed80-deeb-526b-baef-1943ed3af196	dg.4DFC/97b2ed80-deeb-526b-baef-1943ed3af196	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102066_2.fastq.gz	5073128275	Whole Genome Sequence File	99a404764dd6b6f805b532ce9c87b94f	PRECINCT02-07-T-RVKPT-T
file	97f1c332-b0f3-5f22-bccc-bbbd4ad5e2be	dg.4DFC/97f1c332-b0f3-5f22-bccc-bbbd4ad5e2be	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102974_1.fastq.gz	6973183608	Whole Genome Sequence File	658579355c609853759649c1a91bbae0	PRECINCT02-08-T-DOXTAK-N
file	984c1ea3-1567-597c-a593-aa2bcba195d4	dg.4DFC/984c1ea3-1567-597c-a593-aa2bcba195d4	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102066_1.fastq.gz	4751539758	Whole Genome Sequence File	45cad56d71d382bbc390911751af429b	PRECINCT02-07-T-RVKPT-T
file	98525deb-17ec-56c1-aa1b-5535a338c89c	dg.4DFC/98525deb-17ec-56c1-aa1b-5535a338c89c	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14101987_2.fastq.gz	1824222419	Whole Genome Sequence File	06630e56fcef7a6b031932cd2723000f	PRECINCT02-01-T-RVKPT-T
file	986242fa-f4ae-5815-8610-4077eb3b4393	dg.4DFC/986242fa-f4ae-5815-8610-4077eb3b4393	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14096201_1.fastq.gz	2932902569	Whole Genome Sequence File	7a6c86f47f5e7cf6b6dd571dea2948bf	PRECINCT02-01-T-RV1001-N
file	9869a1fd-b4f4-52df-b7bd-e45cd2d3b37e	dg.4DFC/9869a1fd-b4f4-52df-b7bd-e45cd2d3b37e	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14096187_2.fastq.gz	2302765433	Whole Genome Sequence File	8fcfd54d55332eb0d74dff0ffb769454	PRECINCT02-02-T-RV1001-T
file	98718e96-509e-561e-86e0-9465a94ccf45	dg.4DFC/98718e96-509e-561e-86e0-9465a94ccf45	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102947_1.fastq.gz	7198816509	Whole Genome Sequence File	f2408334cd808b0ad9e13b60ff54b3df	PRECINCT02-06-T-DOXTAK-N
file	99a34f10-2585-5097-b598-a1940f902160	dg.4DFC/99a34f10-2585-5097-b598-a1940f902160	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14096193_1.fastq.gz	3518193041	Whole Genome Sequence File	2da7f279b8c4269c90c1d7ca09b2975c	PRECINCT02-01-T-RV1001-T
file	9a103709-eadb-53cd-b71f-599b5493b67e	dg.4DFC/9a103709-eadb-53cd-b71f-599b5493b67e	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102899_2.fastq.gz	5888621791	Whole Genome Sequence File	d64fbd786c112987aa0e2e33cf2b6eba	PRECINCT02-03-T-DOXTAK-T
file	9a33e7fc-1c11-5dcd-8309-2ed6b920401d	dg.4DFC/9a33e7fc-1c11-5dcd-8309-2ed6b920401d	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102913_1.fastq.gz	5484237494	Whole Genome Sequence File	743ca0213a9b6d39d633b1b7dbf2fe02	PRECINCT02-04-T-DOXTAK-T
file	9a364762-5526-5e74-bd2f-660e20000c6c	dg.4DFC/9a364762-5526-5e74-bd2f-660e20000c6c	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102887_2.fastq.gz	5574756537	Whole Genome Sequence File	03bed0f86cdbc2e3cba264bc40431ced	PRECINCT02-02-T-DOXTAK-T
file	9a6ab1d0-e764-5d48-8fc6-3cf26eaea63d	dg.4DFC/9a6ab1d0-e764-5d48-8fc6-3cf26eaea63d	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14099673_2.fastq.gz	5468263370	Whole Genome Sequence File	6c618271e3c0b287d50770d276f35952	PRECINCT02-03-T-DOXRV-T
file	9a92c7b7-8a7c-5dc8-83a9-38429131e2ab	dg.4DFC/9a92c7b7-8a7c-5dc8-83a9-38429131e2ab	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14099600_2.fastq.gz	19425858194	Whole Genome Sequence File	f284383e7b14fb8f18d91cd1b2be0b33	PRECINCT02-01-T-TAK981-T
file	9cc8f509-a3b6-4934-a1d5-5b9bb6a99dae	dg.4DFC/9cc8f509-a3b6-4934-a1d5-5b9bb6a99dae	NanoString RCC (tumor); timepoint: D0; Baseline N; title: 01-T-KPT9274-LN-A	RCC	01-T-KPT9274-LN-A.RCC	29639	NanoString nCounter Canine IO Analysis File	0d1a63b98287f2756e1df931bb85ca6d	PRECINCT02-01-T-KPT9274-T
file	9d1a9c92-9dc9-5f0c-9a02-1f605d119320	dg.4DFC/9d1a9c92-9dc9-5f0c-9a02-1f605d119320	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102148_2.fastq.gz	11318417238	Whole Genome Sequence File	64d777953269b328ee3617e280ffe848	PRECINCT02-14-T-RVKPT-N
file	9d3c33e8-c57a-5bb7-a11e-5b2fd0838211	dg.4DFC/9d3c33e8-c57a-5bb7-a11e-5b2fd0838211	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102030_2.fastq.gz	6693747258	Whole Genome Sequence File	0334f4fd0647430f5fc746d7154fbadd	PRECINCT02-04-T-RVKPT-T
file	9d781b26-8ce4-567a-96d4-1ec4b7247b40	dg.4DFC/9d781b26-8ce4-567a-96d4-1ec4b7247b40	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102034_2.fastq.gz	7216782906	Whole Genome Sequence File	eaf3fc31e510d82c4b26a1024d8bf0fb	PRECINCT02-04-T-RVKPT-N
file	9d796697-dc04-54b9-82d3-933dec76ff7b	dg.4DFC/9d796697-dc04-54b9-82d3-933dec76ff7b	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14098080_1.fastq.gz	4731587532	Whole Genome Sequence File	55a12bc0d8a11966fa9b6dcf57f19e0d	PRECINCT02-04-T-KPT9274-T
file	9d874b58-4740-53d9-adb4-cbbde5c090f7	dg.4DFC/9d874b58-4740-53d9-adb4-cbbde5c090f7	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102978_1.fastq.gz	5300533387	Whole Genome Sequence File	7e3b7ee9bf95fb001e05fbee4a5f225b	PRECINCT02-09-T-DOXTAK-T
file	9e02b9f3-f2ee-55ef-8716-976146f5a542	dg.4DFC/9e02b9f3-f2ee-55ef-8716-976146f5a542	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102010_1.fastq.gz	5704511484	Whole Genome Sequence File	f7af889ae93aeaddca8a6dba02c91a83	PRECINCT02-03-T-RVKPT-T
file	9e08674f-eb01-53e9-8453-02cf60f162ec	dg.4DFC/9e08674f-eb01-53e9-8453-02cf60f162ec	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102886_2.fastq.gz	5501645454	Whole Genome Sequence File	7859c21f96092c93f2df68ce5b187ca0	PRECINCT02-02-T-DOXTAK-T
file	9e0c9ea3-688b-5407-93a9-0696502de476	dg.4DFC/9e0c9ea3-688b-5407-93a9-0696502de476	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102078_2.fastq.gz	3727352045	Whole Genome Sequence File	ba456a16738d379030e22c609febf8dc	PRECINCT02-08-T-RVKPT-T
file	9e158222-065d-5ebd-8442-7d1cdc9318ed	dg.4DFC/9e158222-065d-5ebd-8442-7d1cdc9318ed	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14098055_1.fastq.gz	4445120185	Whole Genome Sequence File	9d0ddc605b77b7cd7b4bf5050bf3dabe	PRECINCT02-01-T-KPT9274-T
file	9e23a1bd-242c-519a-9f5a-4ada2e51fda3	dg.4DFC/9e23a1bd-242c-519a-9f5a-4ada2e51fda3	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102016_2.fastq.gz	6419507857	Whole Genome Sequence File	ffb31aaca09573fe6a4574fb31f0972e	PRECINCT02-03-T-RVKPT-T
file	9ea62290-859e-5593-8e23-757d613a09da	dg.4DFC/9ea62290-859e-5593-8e23-757d613a09da	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14099613_1.fastq.gz	6048292065	Whole Genome Sequence File	71c13bf0f36fb6a27bea6826c14ed982	PRECINCT02-02-T-TAK981-N
file	9ebc3036-d615-54f9-b0fc-b0bb603f6a2e	dg.4DFC/9ebc3036-d615-54f9-b0fc-b0bb603f6a2e	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14099636_1.fastq.gz	4168366259	Whole Genome Sequence File	1412b1027c6574e8b16342d2e5ce6066	PRECINCT02-05-T-KPT9274-N
file	9f055999-da8b-595f-9ced-708f9b447c99	dg.4DFC/9f055999-da8b-595f-9ced-708f9b447c99	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102071_1.fastq.gz	7431502253	Whole Genome Sequence File	f74bb4098b4d2d33d3018bf32bca3a24	PRECINCT02-07-T-RVKPT-N
file	9f09df7b-7563-52c1-b4ce-f891f7ab1427	dg.4DFC/9f09df7b-7563-52c1-b4ce-f891f7ab1427	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102092_2.fastq.gz	5147010741	Whole Genome Sequence File	bfdedfaf98ef6265dc22d32b33b0c501	PRECINCT02-09-T-RVKPT-T
file	9febb985-abb7-5334-8351-82978777cb47	dg.4DFC/9febb985-abb7-5334-8351-82978777cb47	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102982_1.fastq.gz	5423955757	Whole Genome Sequence File	7d3670eff6c2d29f2eec84d71be42002	PRECINCT02-09-T-DOXTAK-T
file	a053bc46-f056-57dc-b805-17c4502d76a5	dg.4DFC/a053bc46-f056-57dc-b805-17c4502d76a5	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14103074_2.fastq.gz	5313457230	Whole Genome Sequence File	80a43bdb3f84e87249e36c82189de59e	PRECINCT02-10-T-DOXTAK-T
