type	sample_id	case.case_id	comment	crdc_id	date_of_sample_collection	general_sample_pathology	length_of_tumor	molecular_subtype	necropsy_sample	percentage_tumor	physical_sample_type	sample_chronology	sample_preservation	sample_site	specific_sample_pathology	summarized_sample_type	tumor_grade	tumor_sample_origin	visit.visit_record_id	volume_of_tumor	width_of_tumor
sample	PRECINCT02-03-T-RV1001-N	PRECINCT02-03-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); matched normal; ENA accession SAMEA117553160	fac1be77-b088-46a6-92e2-5ac36eda93bf	1/16/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-03-T-RV1001-2019-01-16		
sample	PRECINCT02-03-T-RV1001-T	PRECINCT02-03-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); ENA accession SAMEA117553111	54bf0c75-4d09-4746-b572-2fb6be9a1a02	1/16/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-03-T-RV1001-2019-01-16		
sample	PRECINCT02-03-T-RVKPT-N	PRECINCT02-03-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553185	f3b1eccd-f743-4759-9c91-6853e5458e91	7/17/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-03-T-RVKPT-2020-07-17		
sample	PRECINCT02-03-T-RVKPT-T	PRECINCT02-03-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553136	09994e5b-7788-482b-b272-fe19b3d996cb	7/17/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-03-T-RVKPT-2020-07-17		
sample	PRECINCT02-03-T-TAK981-N	PRECINCT02-03-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); matched normal; ENA accession SAMEA117553172	b86af4f7-4d60-4a99-a762-4e72c58a99c2	9/5/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-03-T-TAK981-2019-09-05		
sample	PRECINCT02-03-T-TAK981-T	PRECINCT02-03-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); ENA accession SAMEA117553123	d689dbda-732d-44ed-8184-6930e4ad303c	9/5/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-03-T-TAK981-2019-09-05		
sample	PRECINCT02-04-T-DOXRV-N	PRECINCT02-04-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); matched normal; ENA accession SAMEA117553180	a80f441a-ca4a-464a-95d5-a7510364b6f4	11/26/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-04-T-DOXRV-2019-11-26		
sample	PRECINCT02-04-T-DOXRV-T	PRECINCT02-04-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); ENA accession SAMEA117553131	3ce7edab-38ed-4237-8b3a-b97bcde9b131	11/26/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-04-T-DOXRV-2019-11-26		
sample	PRECINCT02-04-T-DOXTAK-N	PRECINCT02-04-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553199	6883e2d4-1b39-4b86-a523-eb69a262d176	3/10/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-04-T-DOXTAK-2021-03-10		
sample	PRECINCT02-04-T-DOXTAK-T	PRECINCT02-04-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553150	dd0d22d4-b743-483f-ae8e-d124bd06462f	3/10/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-04-T-DOXTAK-2021-03-10		
sample	PRECINCT02-04-T-KPT9274-N	PRECINCT02-04-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); matched normal; ENA accession SAMEA117553166	a42f7db2-f453-4c71-976b-9cacf531098b	7/25/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-04-T-KPT9274-2019-07-25		
sample	PRECINCT02-04-T-KPT9274-T	PRECINCT02-04-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); ENA accession SAMEA117553117	423559bd-fac3-4186-b3e8-f04dadcd2fae	7/25/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-04-T-KPT9274-2019-07-25		
sample	PRECINCT02-04-T-RV1001-N	PRECINCT02-04-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); matched normal; ENA accession SAMEA117553161	afef1585-cf63-4288-aa0f-b01ded9ae5da	1/16/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-04-T-RV1001-2019-01-16		
sample	PRECINCT02-04-T-RV1001-T	PRECINCT02-04-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); ENA accession SAMEA117553112	34281135-b870-411a-9a10-5bfd4aa63ed8	1/16/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-04-T-RV1001-2019-01-16		
sample	PRECINCT02-04-T-RVKPT-N	PRECINCT02-04-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553186	bb88d735-f2b6-4628-a3cb-36425f21e7e8	8/7/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-04-T-RVKPT-2020-08-07		
sample	PRECINCT02-04-T-RVKPT-T	PRECINCT02-04-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553137	45441ba2-2d62-4f1f-a1fa-081cb12db197	8/7/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-04-T-RVKPT-2020-08-07		
sample	PRECINCT02-05-T-DOXRV-N	PRECINCT02-05-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); matched normal; ENA accession SAMEA117553181	fb9e0c59-a53d-4dcd-92c9-4080ce968779	12/3/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-05-T-DOXRV-2019-12-03		
sample	PRECINCT02-05-T-DOXRV-T	PRECINCT02-05-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); ENA accession SAMEA117553132	92209342-72c5-4ed0-9c57-7546db9134ae	12/3/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-05-T-DOXRV-2019-12-03		
sample	PRECINCT02-05-T-DOXTAK-N	PRECINCT02-05-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553200	739bd8a7-848a-4d0b-b4d4-00e5bea715c5	3/23/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-05-T-DOXTAK-2021-03-23		
sample	PRECINCT02-05-T-DOXTAK-T	PRECINCT02-05-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553151	59df10f1-0a30-48ad-b11d-1cea54a5bc69	3/23/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-05-T-DOXTAK-2021-03-23		
sample	PRECINCT02-05-T-KPT9274-N	PRECINCT02-05-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); matched normal; ENA accession SAMEA117553167	3db50cbd-baa5-4122-a544-6c94370c5b07	8/9/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-05-T-KPT9274-2019-08-09		
sample	PRECINCT02-05-T-KPT9274-T	PRECINCT02-05-T-KPT9274	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 2 (KPT9274); ENA accession SAMEA117553118	64abcb4c-2e1c-4f7c-bfed-38665bd8bb6d	8/9/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-05-T-KPT9274-2019-08-09		
sample	PRECINCT02-05-T-RV1001-N	PRECINCT02-05-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); matched normal; ENA accession SAMEA117553162	2a9341d5-3055-4daf-96d4-f51c76b56396	1/23/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-05-T-RV1001-2019-01-23		
sample	PRECINCT02-05-T-RV1001-T	PRECINCT02-05-T-RV1001	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 1 (RV1001); ENA accession SAMEA117553113	5b15dee5-e936-4755-b716-8dd22e33e940	1/23/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-05-T-RV1001-2019-01-23		
sample	PRECINCT02-05-T-RVKPT-N	PRECINCT02-05-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); matched normal; ENA accession SAMEA117553187	3cf6bb88-588c-47fd-9aab-9551cefea441	8/18/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable			
sample	PRECINCT02-05-T-RVKPT-T	PRECINCT02-05-T-RVKPT	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 5 (RVKPT); ENA accession SAMEA117553138	927e16db-2177-43f6-9452-5d3f79527640	8/18/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary			
sample	PRECINCT02-05-T-TAK981-N	PRECINCT02-05-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); matched normal; ENA accession SAMEA117553173	c65c6c67-9ddb-4915-a4e1-e06b7e144418	9/20/2019	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-05-T-TAK981-2019-09-20		
sample	PRECINCT02-05-T-TAK981-T	PRECINCT02-05-T-TAK981	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 3 (TAK981); ENA accession SAMEA117553124	46ddcb96-2f9d-48ea-972a-85954ceb5497	9/20/2019	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-05-T-TAK981-2019-09-20		
sample	PRECINCT02-06-T-DOXRV-N	PRECINCT02-06-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); matched normal; ENA accession SAMEA117553182	4c026768-1edc-4a00-8a82-9188bf813953	2/20/2020	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-06-T-DOXRV-2020-02-20		
sample	PRECINCT02-06-T-DOXRV-T	PRECINCT02-06-T-DOXRV	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 4 (DOXRV); ENA accession SAMEA117553133	7865d1a7-42aa-4853-abff-abbfd289a7b6	2/20/2020	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-06-T-DOXRV-2020-02-20		
sample	PRECINCT02-06-T-DOXTAK-N	PRECINCT02-06-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); matched normal; ENA accession SAMEA117553201	5463e361-3083-4b31-90ca-197732d586a1	3/23/2021	Normal			No	Not Applicable	Blood	Before Treatment	Snap Frozen	Blood	Not Applicable	Whole Blood	Not Applicable	Not Applicable	PRECINCT02-06-T-DOXTAK-2021-03-23		
sample	PRECINCT02-06-T-DOXTAK-T	PRECINCT02-06-T-DOXTAK	WGS data from canine DLBCL clinical trial PRECINCT02; Arm 6 (DOXTAK); ENA accession SAMEA117553152	57b0d408-3f17-4097-b8ed-35b9bf55a01e	3/23/2021	Malignant			No	Not Determined	Tissue	Before Treatment	Snap Frozen	Lymph Node	B Cell Lymphoma	Primary Malignant Tumor Tissue	High	Primary	PRECINCT02-06-T-DOXTAK-2021-03-23		
