type	demographic_record_id	additional_breed_detail	breed	case.case_id	date_of_birth	neutered_indicator	patient_age_at_enrollment	sex	weight
demographic	PRECINCT02-13-T-RVKPT		Mixed Breed	PRECINCT02-13-T-RVKPT	11/3/2008	Yes	12.0	Male	22.2
demographic	PRECINCT02-14-1-LSA7		Mixed Breed	PRECINCT02-14-1-LSA7	2/8/2012	Yes	10.8	Male	33.8
demographic	PRECINCT02-14-T-RVKPT		Mixed Breed	PRECINCT02-14-T-RVKPT	4/29/2018	No	2.5	Female	49.4
demographic	PRECINCT02-15-1-LSA7		Mixed Breed	PRECINCT02-15-1-LSA7	12/1/2010	Yes	12.1	Male	28.8
demographic	PRECINCT02-16-2-LSA7		Boykin Spaniel	PRECINCT02-16-2-LSA7	1/9/2014	Yes	9.0	Male	27.6
demographic	PRECINCT02-17-2-LSA7	American Pit Bull Terrier	Other	PRECINCT02-17-2-LSA7	7/7/2014	Yes	8.5	Male	25.6
demographic	PRECINCT02-18-2-LSA7	Sato	Other	PRECINCT02-18-2-LSA7	4/27/2019	Yes	3.7	Male	25
demographic	PRECINCT02-19-2-LSA7		Mixed Breed	PRECINCT02-19-2-LSA7	4/11/2014	Yes	8.8	Female	25
demographic	PRECINCT02-20-2-LSA7	American Staffordshire Terrier	Other	PRECINCT02-20-2-LSA7	4/10/2013	Yes	9.9	Female	27.6
demographic	PRECINCT02-21-2-LSA7		Old English Sheepdog	PRECINCT02-21-2-LSA7	8/27/2020	Yes	2.5	Male	38.4
demographic	PRECINCT02-22-2-LSA7		Mixed Breed	PRECINCT02-22-2-LSA7	12/18/2010	Yes	12.2	Male	35.6
demographic	PRECINCT02-23-2-LSA7		Mixed Breed	PRECINCT02-23-2-LSA7	3/9/2014	Yes	9.0	Male	13.8
demographic	PRECINCT02-24-2-LSA7	Pit bull	Other	PRECINCT02-24-2-LSA7	10/26/2020	No	2.4	Male	30.8
demographic	PRECINCT02-25-2-LSA7		Rottweiler	PRECINCT02-25-2-LSA7	2/3/2020	Yes	3.2	Male	52.8
demographic	PRECINCT02-26-2-LSA7		Bernese Mountain Dog	PRECINCT02-26-2-LSA7	7/17/2010	Yes	12.8	Female	27.6
demographic	PRECINCT02-27-2-LSA7		Mixed Breed	PRECINCT02-27-2-LSA7	5/30/2013	Yes	9.9	Female	9.4
demographic	PRECINCT02-28-2-LSA7		Golden Retriever	PRECINCT02-28-2-LSA7	5/8/2018	No	5.0	Male	34.2
demographic	PRECINCT02-29-2-LSA7		German Shepherd Dog	PRECINCT02-29-2-LSA7	6/11/2020	Yes	2.9	Male	40.2
demographic	PRECINCT02-NE 04-T-TAK981		Newfoundland	PRECINCT02-NE 04-T-TAK981	4/17/2014	Yes	5.4	Female	70.3
demographic	PRECINCT02-NE 06-T-TAK981		Other	PRECINCT02-NE 06-T-TAK981	1/9/2012	Yes	7.7	Male	23.1
