type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/148210de-51d3-549a-b392-6cf2b6dd9ba6	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/148210de-51d3-549a-b392-6cf2b6dd9ba6	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/14f7f678-cccc-5ab3-9ba7-93987239b9ce	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/14f7f678-cccc-5ab3-9ba7-93987239b9ce	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/15898dab-2bef-5998-8b5f-f01358344f51	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/15898dab-2bef-5998-8b5f-f01358344f51	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/161d5b11-0e36-5297-958c-1cc6446de16a	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/161d5b11-0e36-5297-958c-1cc6446de16a	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/16ab9834-e235-5ce3-89f6-33839f077fd2	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/16ab9834-e235-5ce3-89f6-33839f077fd2	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/17009791-f515-51fc-93c4-8f62085a6fb2	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/17009791-f515-51fc-93c4-8f62085a6fb2	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1886ad8e-fe3f-5317-a84d-dcdef554dee1	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1886ad8e-fe3f-5317-a84d-dcdef554dee1	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/189b7e00-195a-56e2-ab49-d7e7c521668d	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/189b7e00-195a-56e2-ab49-d7e7c521668d	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1903d204-348a-572a-9920-80bfb860ff0a	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1903d204-348a-572a-9920-80bfb860ff0a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1a19135f-3483-5442-8391-131f06e72e81	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1a19135f-3483-5442-8391-131f06e72e81	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1bf82b9e-29d9-5e73-9d1c-077e3459b33b	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1bf82b9e-29d9-5e73-9d1c-077e3459b33b	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1cd31046-095f-5b30-a1b8-f631c0d09bd4	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1cd31046-095f-5b30-a1b8-f631c0d09bd4	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1d3e3d94-cad9-5af9-b515-94b75b1bc97b	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1d3e3d94-cad9-5af9-b515-94b75b1bc97b	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1d480c3f-f6da-5200-84b6-b831cac47ff5	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1d480c3f-f6da-5200-84b6-b831cac47ff5	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/1db87c39-462d-5875-85ec-b2911c18fe88	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/1db87c39-462d-5875-85ec-b2911c18fe88	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/2116927a-d580-5eff-a150-6e65a4bb3851	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/2116927a-d580-5eff-a150-6e65a4bb3851	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/21735975-1c97-542a-909f-5b86b07df551	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/21735975-1c97-542a-909f-5b86b07df551	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/21dfd653-8960-5db1-84cc-4a8061353db2	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/21dfd653-8960-5db1-84cc-4a8061353db2	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/223ad06b-1d66-508b-9578-63fa692f655b	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/223ad06b-1d66-508b-9578-63fa692f655b	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/22a61bc9-cd83-577e-929a-bc9c362add17	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/22a61bc9-cd83-577e-929a-bc9c362add17	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/22f305ac-bc41-5d59-bf4b-61100e3ee208	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/22f305ac-bc41-5d59-bf4b-61100e3ee208	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/238960bf-8d04-5322-acc1-14ecf2672f8c	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/238960bf-8d04-5322-acc1-14ecf2672f8c	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/240fc30c-dc97-5019-be74-aaa016b6915e	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/240fc30c-dc97-5019-be74-aaa016b6915e	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/24149015-af5f-5410-bfbb-50065df9f6d3	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/24149015-af5f-5410-bfbb-50065df9f6d3	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
