type	uuid	case.case_record_id	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id	study.clinical_study_designation
file	40102c2f-9c23-5150-87c0-dd15a708d897	COTC022-1402	dg.4DFC/40102c2f-9c23-5150-87c0-dd15a708d897	Nanostring	RCC	COTC022-1402-M-F-Lung .RCC	31592	NanoString nCounter Canine IO Analysis File	44db81ff387d7638f1c78dabcd14dd24	COTC022-1402-M-F-Lung	COTC022
file	4b63f4c8-3dfd-5a2b-9821-2f31655a6755	COTC022-1022	dg.4DFC/4b63f4c8-3dfd-5a2b-9821-2f31655a6755	Nanostring	RCC	COTC022-1022-M-S-Omentum.RCC	31510	NanoString nCounter Canine IO Analysis File	c0a158bb96f4e1819c97296c744e41bf	COTC022-1022-M-S-Omentum	COTC022
file	4cd1873e-79a0-5799-94dd-156e6a8984ed	COTC022-1006	dg.4DFC/4cd1873e-79a0-5799-94dd-156e6a8984ed	Nanostring	RCC	COTC022-1006-M-F-Lung.RCC	31073	NanoString nCounter Canine IO Analysis File	ee31451a108d446b830064d08f61e938	COTC022-1006-M-F-Lung	COTC022
file	507ce6ee-6528-5c07-8eca-052c95f13a54	COTC022-0304	dg.4DFC/507ce6ee-6528-5c07-8eca-052c95f13a54	Nanostring	RCC	COTC022-0304-M-S-Lung.RCC	31743	NanoString nCounter Canine IO Analysis File	8fd32c6f21cc9c8dcf015ed7220bbaae	COTC022-0304-M-S-Lung	COTC022
file	51755bf8-d00c-5728-b15e-a704e34af5ed	COTC022-0318	dg.4DFC/51755bf8-d00c-5728-b15e-a704e34af5ed	Nanostring	RCC	COTC022-0318-T-F-B.RCC	31396	NanoString nCounter Canine IO Analysis File	6fb4f8e212d7b50183f5a8dcf15ed36c	COTC022-0318-T-F-B	COTC022
file	53d5a5ca-4cb9-55d1-834c-483c8bce6c57	COTC022-1006	dg.4DFC/53d5a5ca-4cb9-55d1-834c-483c8bce6c57	Nanostring	RCC	COTC022-1006-M-S-Lung.RCC	31559	NanoString nCounter Canine IO Analysis File	90c3d61c20f671134f1448d608a2882c	COTC022-1006-M-S-Lung	COTC022
file	60a80790-a4d6-507f-b95e-79033abf81d7	COTC022-0312	dg.4DFC/60a80790-a4d6-507f-b95e-79033abf81d7	Nanostring	RCC	COTC022-0312-M-F-Lung.RCC	31551	NanoString nCounter Canine IO Analysis File	57e9efbbeb9ce89728f445f208112fa1	COTC022-0312-M-F-Lung	COTC022
file	6c7dff62-1a04-5ef2-9891-b26cc1bc4ffd	COTC022-2202	dg.4DFC/6c7dff62-1a04-5ef2-9891-b26cc1bc4ffd	Nanostring	RCC	COTC022-2202-M-F-Brain.RCC	31708	NanoString nCounter Canine IO Analysis File	deb13410000ff4dc1ac5eb59e9b1c2f7	COTC022-2202-M-F-Brain	COTC022
file	7668aba9-5932-5248-a666-328a71f273be	COTC022-1012	dg.4DFC/7668aba9-5932-5248-a666-328a71f273be	Nanostring	RCC	COTC022-1012-M-F-T11T13.RCC	31096	NanoString nCounter Canine IO Analysis File	91a2d7b5c09e442aa848a820b0be9cde	COTC022-1012-M-F-T11T13	COTC022
file	77a03701-2b44-5856-a43f-0b573679e84c	COTC022-1022	dg.4DFC/77a03701-2b44-5856-a43f-0b573679e84c	Nanostring	RCC	COTC022-1022-M-F-Stomach.RCC	31642	NanoString nCounter Canine IO Analysis File	e495224ebef01f898520520434b4e04e	COTC022-1022-M-F-Stomach	COTC022
file	7d86ab5d-b0e8-53fd-8f1d-a8caef43ce7f	COTC022-2006	dg.4DFC/7d86ab5d-b0e8-53fd-8f1d-a8caef43ce7f	Nanostring	RCC	COTC022-2006-T-F-B.RCC	31326	NanoString nCounter Canine IO Analysis File	07d23f61509e648ea5729b214d205d1e	COTC022-2006-T-F-B	COTC022
file	7eb635dc-947b-5a5b-b24d-8af2d0612c8b	COTC022-2006	dg.4DFC/7eb635dc-947b-5a5b-b24d-8af2d0612c8b	Nanostring	RCC	COTC022-2006-M-F-Lung 1.RCC	31792	NanoString nCounter Canine IO Analysis File	736598dbcd9e6e4c664ffbbda17e232d	COTC022-2006-M-F-Lung 1	COTC022
file	87c1b597-466f-50cb-96fc-6e8248016170	COTC022-1022	dg.4DFC/87c1b597-466f-50cb-96fc-6e8248016170	Nanostring	RCC	COTC022-1022-M-S-Lung-1.RCC	31483	NanoString nCounter Canine IO Analysis File	3716a0d8ca10a5794734ba9e3694c831	COTC022-1022-M-S-Lung-1	COTC022
file	9856b7d5-9fa8-5bb1-bc2f-0a1bc6b9c00e	COTC022-0628	dg.4DFC/9856b7d5-9fa8-5bb1-bc2f-0a1bc6b9c00e	Nanostring	RCC	COTC022-0628-M-F-Brain.RCC	31460	NanoString nCounter Canine IO Analysis File	5be7c55af94cb2883194b1b87b782592	COTC022-0628-M-F-Brain	COTC022
file	9bcd9d2e-cbb7-531c-bfa9-4e67d89ad9b2	COTC022-2202	dg.4DFC/9bcd9d2e-cbb7-531c-bfa9-4e67d89ad9b2	Nanostring	RCC	COTC022-2202-M-F-Liver.RCC	31707	NanoString nCounter Canine IO Analysis File	85bee86fe5bdea897a784931d2652f45	COTC022-2202-M-F-Liver	COTC022
file	ac79d34a-e9fc-549f-b9a8-d6a58ec2126b	COTC022-0627	dg.4DFC/ac79d34a-e9fc-549f-b9a8-d6a58ec2126b	Nanostring	RCC	COTC022-0627-M-F-Lung.RCC	31383	NanoString nCounter Canine IO Analysis File	5f96a57f5f6815e5d34bc350d6385804	COTC022-0627-M-F-Lung	COTC022
file	ae88f48b-7bc7-50e3-b1b1-40521101ca6d	COTC022-0227	dg.4DFC/ae88f48b-7bc7-50e3-b1b1-40521101ca6d	Nanostring	RCC	COTC022-0227-M-F-Liver.RCC	31033	NanoString nCounter Canine IO Analysis File	515a76a054a8a495912b30ac22c9e3f5	COTC022-0227-M-F-Liver	COTC022
file	b09475c0-a3f3-58d2-9a03-78611b6c31dc	COTC022-0904	dg.4DFC/b09475c0-a3f3-58d2-9a03-78611b6c31dc	Nanostring	RCC	COTC022-0904-M-F-Heart.RCC	31341	NanoString nCounter Canine IO Analysis File	e79eac5bd3f2df3fec58be08ba5b9a67	COTC022-0904-M-F-Heart	COTC022
file	b76eb61d-83aa-557d-9b20-d7dc6f655ba9	COTC022-0310	dg.4DFC/b76eb61d-83aa-557d-9b20-d7dc6f655ba9	Nanostring	RCC	COTC022-0310-T-F-B.RCC	30895	NanoString nCounter Canine IO Analysis File	ff53d9d3fc14967cc564be5e181c5147	COTC022-0310-T-F-B	COTC022
file	bfe8e987-5005-5062-be58-b9760ffe3b25	COTC022-0620	dg.4DFC/bfe8e987-5005-5062-be58-b9760ffe3b25	Nanostring	RCC	COTC022-0620-M-F-Abd Mass.RCC	31320	NanoString nCounter Canine IO Analysis File	17aa3922204004ddb517ce6ce5d8fb6d	COTC022-0620-M-F-Abd Mass	COTC022
file	c239197c-e2d4-572f-bcd9-3e3e04e026ac	COTC022-0802	dg.4DFC/c239197c-e2d4-572f-bcd9-3e3e04e026ac	Nanostring	RCC	COTC022-0802-M-S-Lung.RCC	31610	NanoString nCounter Canine IO Analysis File	cb2179a8c36da7e5b0cf2b01407b4bca	COTC022-0802-M-S-Lung	COTC022
file	d0d91c1d-8f6e-56d2-8b28-e66a90d60bdc	COTC022-0628	dg.4DFC/d0d91c1d-8f6e-56d2-8b28-e66a90d60bdc	Nanostring	RCC	COTC022-0628-M-F-Lung .RCC	31105	NanoString nCounter Canine IO Analysis File	f48757593bb665a95eedb9393fd9030b	COTC022-0628-M-F-Lung	COTC022
file	d6245de2-8064-5b81-b770-8f9bd4ebc559	COTC022-1006	dg.4DFC/d6245de2-8064-5b81-b770-8f9bd4ebc559	Nanostring	RCC	COTC022-1006-M-F-Rib.RCC	31533	NanoString nCounter Canine IO Analysis File	d6f51015b258007f8a36a288a853028f	COTC022-1006-M-F-Rib	COTC022
file	d6e6e5c9-f880-52cb-8697-2d791a6d14bd	COTC022-0628	dg.4DFC/d6e6e5c9-f880-52cb-8697-2d791a6d14bd	Nanostring	RCC	COTC022-0628-M-F-Kidney.RCC	31248	NanoString nCounter Canine IO Analysis File	36faaa8d8c9d36688f1ef531aa417a46	COTC022-0628-M-F-Kidney	COTC022
file	e21a7185-ef3d-5c1e-9197-99cb6d6c5022	COTC022-0227	dg.4DFC/e21a7185-ef3d-5c1e-9197-99cb6d6c5022	Nanostring	RCC	COTC022-0227-M-F-T5.RCC	31265	NanoString nCounter Canine IO Analysis File	0c0d1bc70f591a9266bc522e63fe7623	COTC022-0227-M-F-T5	COTC022
file	ebb1c20e-e4f3-5ad4-876d-a608e49c337b	COTC022-1012	dg.4DFC/ebb1c20e-e4f3-5ad4-876d-a608e49c337b	Nanostring	RCC	COTC022-1012-M-F-Rib.RCC	31068	NanoString nCounter Canine IO Analysis File	d1f71558362ba542aae3b60b375e9322	COTC022-1012-M-F-Rib	COTC022
file	fd502534-693a-540e-971e-6faf50981b02	COTC022-1022	dg.4DFC/fd502534-693a-540e-971e-6faf50981b02	Nanostring	RCC	COTC022-1022-M-S-Lung-2.RCC	31561	NanoString nCounter Canine IO Analysis File	a54efabbda2574ef07c8deb48c09a77a	COTC022-1022-M-S-Lung-2	COTC022
file	fd6f72d7-e5c2-5e7e-8665-d0ea57d0baa1	COTC022-1006	dg.4DFC/fd6f72d7-e5c2-5e7e-8665-d0ea57d0baa1	Nanostring	RCC	COTC022-1006-T-F-B.RCC	31481	NanoString nCounter Canine IO Analysis File	e3277cfdfa63b351c7a5455ab8d8f8f4	COTC022-1006-T-F-B	COTC022
