sample_id	sample_type	sample_anatomic_site	type	participant.study_participant_id	sample_tumor_status
WM4276-2_2605.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4276	Not specified in data
wm4281.WES_Skin	Skin	Skin	sample	phs002432_WM4281	Not specified in data
wm4281n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4281	Not specified in data
WM4298-2_8251.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4298	Not specified in data
WM4298-2_8253.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4298	Not specified in data
WM4298-2_8254.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4298	Not specified in data
WM4298-2_CPLX__1079.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4298	Not specified in data
WM4298-2_CPLX__1080.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4298	Not specified in data
wm4304.WES_Skin	Skin	Skin	sample	phs002432_WM4304	Not specified in data
wm4304n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4304	Not specified in data
WM4335-1_1387.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4335	Not specified in data
WM4335-1_1389.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4335	Not specified in data
WM4335-1_3754.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4335	Not specified in data
WM4335-1_CPLX__5778.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4335	Not specified in data
WM4335-1_CPLX__5779.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4335	Not specified in data
wm4336-1.WES_Skin	Skin	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-2.WES_Skin	Skin	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-2MP.WES_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-3.WES_Skin	Skin	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-4.WES_Skin	Skin	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-4CPLX.WES_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-4MP.WES_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-5.WES_Skin	Skin	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-5CPLX.WES_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4336	Not specified in data
wm4336-5MP.WES_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4336	Not specified in data
wm4336n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4336	Not specified in data
WM4352_1037.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4352	Not specified in data
WM4352_CPLX__3993.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4352	Not specified in data
WM4352_CPLX__3994.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4352	Not specified in data
WM4352_CPLX__3995.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4352	Not specified in data
wm4361-2.WES_Skin	Skin	Skin	sample	phs002432_WM4361	Not specified in data
wm4361-3.WES_Skin	Skin	Skin	sample	phs002432_WM4361	Not specified in data
wm4361-4.WES_Skin	Skin	Skin	sample	phs002432_WM4361	Not specified in data
wm4361n.WES_peripheral blood - Blood Derived Cancer	Blood	Skin	sample	phs002432_WM4361	Not specified in data
WM4404-1_1916.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-1_1918.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-2_1886.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-2_1919.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-3_8832.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-3_8836.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-3_8839.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-3_CPLX_1071.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-3_CPLX_1072.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4404-3_CPLX_1074.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4404	Not specified in data
WM4408_1963.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4408	Not specified in data
WM4408_1964.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4408	Not specified in data
WM4408_1965.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4408	Not specified in data
WM4494_6246.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4494	Not specified in data
WM4494_6248.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4494	Not specified in data
WM4494_6250.RNA-Seq_Xenograft Tissue	Xenograft Tissue	Skin	sample	phs002432_WM4494	Not specified in data
