type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/054ee780-3510-5669-8e93-74a26ca87c83	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/054ee780-3510-5669-8e93-74a26ca87c83	MR	C16809	Avanto		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/054fc03c-9043-5401-9c1b-39e8595f6bc8	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/054fc03c-9043-5401-9c1b-39e8595f6bc8	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0578348c-dc8d-5ac8-9a17-4db2c5f6c9a9	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/0578348c-dc8d-5ac8-9a17-4db2c5f6c9a9	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/05a3e105-2891-507b-a877-5d3cda0bd075	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/05a3e105-2891-507b-a877-5d3cda0bd075	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06030de6-c091-5289-b6da-4f4ef4840bea	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/06030de6-c091-5289-b6da-4f4ef4840bea	MR	C16809	Skyra		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06171689-b0b9-5219-9da5-5ab478e94194	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/06171689-b0b9-5219-9da5-5ab478e94194	MR	C16809	SIGNA EXCITE		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06592e7b-9d61-5cf8-b0fc-383d31f6d0b6	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/06592e7b-9d61-5cf8-b0fc-383d31f6d0b6	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06786bd2-e214-5da1-818e-a95d23460e99	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/06786bd2-e214-5da1-818e-a95d23460e99	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0681c84b-3573-5434-af62-10022d026ee8	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/0681c84b-3573-5434-af62-10022d026ee8	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06aafa2e-75fe-551e-a53a-ee7b536cfe90	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/06aafa2e-75fe-551e-a53a-ee7b536cfe90	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
