library_id	reference_genome_assembly	library_strategy	library_layout	library_source	platform	type	genomic_info_id	file.file_id	library_selection	instrument_model
TWFU-CPT0000890002-XBa1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43dd9d4-1c04-11ee-913d-bbbedc7f7c17_TWFU-CPT0000890002-XBa1	dg.4DFC/f43dd9d4-1c04-11ee-913d-bbbedc7f7c17	Not specified in data	Not specified in data
TWFU-CPT0000890002-XBa1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43dff72-1c04-11ee-89c6-efa9d8fab62d_TWFU-CPT0000890002-XBa1	dg.4DFC/f43dff72-1c04-11ee-89c6-efa9d8fab62d	Not specified in data	Not specified in data
TWFU-CPT0000890002-XBa1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43e2830-1c04-11ee-8528-07651d42b7be_TWFU-CPT0000890002-XBa1	dg.4DFC/f43e2830-1c04-11ee-8528-07651d42b7be	Not specified in data	Not specified in data
TWFU-CPT0001180011-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43e4dce-1c04-11ee-9828-2bb435fcf269_TWFU-CPT0001180011-Y1_2N1Ba1_1	dg.4DFC/f43e4dce-1c04-11ee-9828-2bb435fcf269	Not specified in data	Not specified in data
TWFU-CPT0001180011-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43e701a-1c04-11ee-90b9-9754dce0b2c3_TWFU-CPT0001180011-Y1_2N1Ba1_1	dg.4DFC/f43e701a-1c04-11ee-90b9-9754dce0b2c3	Not specified in data	Not specified in data
TWFU-CPT0001180011-Y1_2N1Ba1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43e9522-1c04-11ee-a1de-3f179724f72a_TWFU-CPT0001180011-Y1_2N1Ba1_1	dg.4DFC/f43e9522-1c04-11ee-a1de-3f179724f72a	Not specified in data	Not specified in data
TWFU-CPT0001220012-Y1NBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43ebbec-1c04-11ee-94d6-b7eac4898e26_TWFU-CPT0001220012-Y1NBa1_1	dg.4DFC/f43ebbec-1c04-11ee-94d6-b7eac4898e26	Not specified in data	Not specified in data
TWFU-CPT0001220012-Y1NBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43ee392-1c04-11ee-92b7-0fb1497ee6c3_TWFU-CPT0001220012-Y1NBa1_1	dg.4DFC/f43ee392-1c04-11ee-92b7-0fb1497ee6c3	Not specified in data	Not specified in data
TWFU-CPT0001220012-Y1NBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43f0962-1c04-11ee-bb06-57e1a1078bcb_TWFU-CPT0001220012-Y1NBa1_1	dg.4DFC/f43f0962-1c04-11ee-bb06-57e1a1078bcb	Not specified in data	Not specified in data
TWFU-CPT0001270002-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43f2e60-1c04-11ee-80e2-235938617fa1_TWFU-CPT0001270002-XBa1_1	dg.4DFC/f43f2e60-1c04-11ee-80e2-235938617fa1	Not specified in data	Not specified in data
TWFU-CPT0001270002-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f43ffe08-1c04-11ee-b1d7-8fb911443d53_TWFU-CPT0001270002-XBa1_1	dg.4DFC/f43ffe08-1c04-11ee-b1d7-8fb911443d53	Not specified in data	Not specified in data
TWFU-CPT0001270002-XBa1_1	GRCh38	ATAC-seq	Paired-End	Genomic Single Cell	Illumina	genomic_info	dg.4DFC/f4402518-1c04-11ee-86ec-0358c41b769f_TWFU-CPT0001270002-XBa1_1	dg.4DFC/f4402518-1c04-11ee-86ec-0358c41b769f	Not specified in data	Not specified in data
